dataset,gnn,method,acc_mean,acc_std
Cora,MLP,h_shallow,0.6388,0.0213
Cora,MLP,h_GIANT,0.7196,0.0000
Cora,MLP,LLM,0.6769,0.0
Cora,MLP,LM_finetune,0.7606,0.0378
Cora,MLP,h_TAPE,0.8778,0.0485
Cora,GCN,h_shallow,0.8911,0.0015
Cora,GCN,h_GIANT,0.8423,0.0053
Cora,GCN,LLM,0.6769,0.0
Cora,GCN,LM_finetune,0.7606,0.0378
Cora,GCN,h_TAPE,0.9119,0.0158
Cora,SAGE,h_shallow,0.8824,0.0009
Cora,SAGE,h_GIANT,0.8455,0.0028
Cora,SAGE,LLM,0.6769,0.0
Cora,SAGE,LM_finetune,0.7606,0.0378
Cora,SAGE,h_TAPE,0.9290,0.0307
Cora,RevGAT,h_shallow,0.8911,0.0000
Cora,RevGAT,h_GIANT,0.8353,0.0038
Cora,RevGAT,LLM,0.6769,0.0
Cora,RevGAT,LM_finetune,0.7606,0.0378
Cora,RevGAT,h_TAPE,0.9280,0.0275
PubMed,MLP,h_shallow,0.8635,0.0032
PubMed,MLP,h_GIANT,0.8175,0.0059
PubMed,MLP,LLM,0.9342,0.0
PubMed,MLP,LM_finetune,0.9494,0.0046
PubMed,MLP,h_TAPE,0.9565,0.0060
PubMed,GCN,h_shallow,0.8031,0.0425
PubMed,GCN,h_GIANT,0.8419,0.0050
PubMed,GCN,LLM,0.9342,0.0
PubMed,GCN,LM_finetune,0.9494,0.0046
PubMed,GCN,h_TAPE,0.9431,0.0043
PubMed,SAGE,h_shallow,0.8881,0.0002
PubMed,SAGE,h_GIANT,0.8372,0.0082
PubMed,SAGE,LLM,0.9342,0.0
PubMed,SAGE,LM_finetune,0.9494,0.0046
PubMed,SAGE,h_TAPE,0.9618,0.0053
PubMed,RevGAT,h_shallow,0.8850,0.0005
PubMed,RevGAT,h_GIANT,0.8502,0.0048
PubMed,RevGAT,LLM,0.9342,0.0
PubMed,RevGAT,LM_finetune,0.9494,0.0046
PubMed,RevGAT,h_TAPE,0.9604,0.0047
ogbn-arxiv,MLP,h_shallow,0.5336,0.0038
ogbn-arxiv,MLP,h_GIANT,0.7308,0.0006
ogbn-arxiv,MLP,LLM,0.7350,0.0
ogbn-arxiv,MLP,LM_finetune,0.7361,0.0004
ogbn-arxiv,MLP,h_TAPE,0.7587,0.0015
ogbn-arxiv,GCN,h_shallow,0.7182,0.0027
ogbn-arxiv,GCN,h_GIANT,0.7329,0.0010
ogbn-arxiv,GCN,LLM,0.7350,0.0
ogbn-arxiv,GCN,LM_finetune,0.7361,0.0004
ogbn-arxiv,GCN,h_TAPE,0.7520,0.0003
ogbn-arxiv,SAGE,h_shallow,0.7171,0.0017
ogbn-arxiv,SAGE,h_GIANT,0.7435,0.0014
ogbn-arxiv,SAGE,LLM,0.7350,0.0
ogbn-arxiv,SAGE,LM_finetune,0.7361,0.0004
ogbn-arxiv,SAGE,h_TAPE,0.7672,0.0007
ogbn-arxiv,RevGAT,h_shallow,0.7083,0.0017
ogbn-arxiv,RevGAT,h_GIANT,0.7590,0.0019
ogbn-arxiv,RevGAT,LLM,0.7350,0.0
ogbn-arxiv,RevGAT,LM_finetune,0.7361,0.0004
ogbn-arxiv,RevGAT,h_TAPE,0.7750,0.0012
ogbn-products,MLP,h_shallow,0.5385,0.0017
ogbn-products,MLP,h_GIANT,0.6125,0.0078
ogbn-products,MLP,LLM,0.7440,0.0
ogbn-products,MLP,LM_finetune,0.7297,0.0023
ogbn-products,MLP,h_TAPE,0.7878,0.0082
ogbn-products,GCN,h_shallow,0.7052,0.0051
ogbn-products,GCN,h_GIANT,0.6977,0.0042
ogbn-products,GCN,LLM,0.7440,0.0
ogbn-products,GCN,LM_finetune,0.7297,0.0023
ogbn-products,GCN,h_TAPE,0.7996,0.0041
ogbn-products,SAGE,h_shallow,0.6913,0.0026
ogbn-products,SAGE,h_GIANT,0.6869,0.0119
ogbn-products,SAGE,LLM,0.7440,0.0
ogbn-products,SAGE,LM_finetune,0.7297,0.0023
ogbn-products,SAGE,h_TAPE,0.8137,0.0043
ogbn-products,RevGAT,h_shallow,0.6964,0.0017
ogbn-products,RevGAT,h_GIANT,0.7189,0.0030
ogbn-products,RevGAT,LLM,0.7440,0.0
ogbn-products,RevGAT,LM_finetune,0.7297,0.0023
ogbn-products,RevGAT,h_TAPE,0.8234,0.0036
tape-arxiv23,MLP,h_shallow,0.6202,0.0064
tape-arxiv23,MLP,h_GIANT,0.5574,0.0032
tape-arxiv23,MLP,LLM,0.7356,0.0
tape-arxiv23,MLP,LM_finetune,0.7358,0.0006
tape-arxiv23,MLP,h_TAPE,0.8385,0.0246
tape-arxiv23,GCN,h_shallow,0.6341,0.0062
tape-arxiv23,GCN,h_GIANT,0.5672,0.0061
tape-arxiv23,GCN,LLM,0.7356,0.0
tape-arxiv23,GCN,LM_finetune,0.7358,0.0006
tape-arxiv23,GCN,h_TAPE,0.8080,0.0215
tape-arxiv23,SAGE,h_shallow,0.6430,0.0037
tape-arxiv23,SAGE,h_GIANT,0.5665,0.0032
tape-arxiv23,SAGE,LLM,0.7356,0.0
tape-arxiv23,SAGE,LM_finetune,0.7358,0.0006
tape-arxiv23,SAGE,h_TAPE,0.8388,0.0264
tape-arxiv23,RevGAT,h_shallow,0.6563,0.0062
tape-arxiv23,RevGAT,h_GIANT,0.5834,0.0038
tape-arxiv23,RevGAT,LLM,0.7356,0.0
tape-arxiv23,RevGAT,LM_finetune,0.7358,0.0006
tape-arxiv23,RevGAT,h_TAPE,0.8423,0.0256
